symbol,symbol,companyName,industry,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,slb_isin,listingDate,isMunicipalBond,isHybridSymbol,quotepreopenstatus.equityTime,quotepreopenstatus.preOpenTime,quotepreopenstatus.QuotePreOpenFlag
EICHERMOT,EICHERMOT,Eicher Motors Limited,2/3 Wheelers,['EQ'],[],True,False,True,False,False,[],False,False,INE066A01021,INE066A01021,2004-09-07,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
M&M,M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE101A01026,INE101A01026,1996-01-03,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
SHRIRAMFIN,SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),['EQ'],[],True,False,True,True,False,"['YV', 'YX', 'YY', 'Z1', 'Z2', 'Z3', 'Z6', 'Z7', 'ZA', 'ZD', 'ZG', 'ZJ', 'N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE', 'NF', 'NG', 'NH', 'NI', 'NJ', 'NK', 'NL', 'NM', 'NN', 'NO', 'NP', 'NQ', 'NR', 'NS', 'NT', 'NU', 'NV', 'NW', 'NX', 'NY', 'NZ', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7', 'Y8', 'Y9', 'YA', 'YB', 'YC', 'YD', 'YG', 'YH', 'YJ', 'YK', 'YM', 'YN', 'YO', 'YQ', 'YR', 'YT', 'YU']",False,False,INE721A01047,INE721A01047,1996-12-11,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
MARUTI,MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,['EQ'],[],True,False,True,False,False,['IL'],False,False,INE585B01010,INE585B01010,2003-07-09,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
DRREDDY,DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,['EQ'],[],True,False,True,False,False,['N1'],False,False,INE089A01031,INE089A01031,2003-05-30,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
POWERGRID,POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,['EQ'],[],True,False,True,True,False,['IL'],False,False,INE752E01010,INE752E01010,2007-10-05,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
RELIANCE,RELIANCE,Reliance Industries Limited,Refineries & Marketing,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE002A01018,INE002A01018,1995-11-29,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
ETERNAL,ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE758T01015,INE758T01015,2021-07-23,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
TATAMOTORS,TATAMOTORS,Tata Motors Limited,Passenger Cars & Utility Vehicles,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE155A01022,INE155A01022,1998-07-22,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
SBILIFE,SBILIFE,SBI Life Insurance Company Limited,Life Insurance,['EQ'],[],True,False,True,False,False,[],False,False,INE123W01016,INE123W01016,2017-10-03,False,False,05-Sep-2025 16:00:00,05-Sep-2025 09:07:40,False
