priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
1,NIFTY 50,NIFTY 50,24818.85,24832.35,24621.6,24741.0,24734.3,6.700000000000728,0.03,1119690269.13,26277.35,21743.65,210071924,0,185301526994.18,05-Sep-2025 16:00:00,5.846670231206718,-13.7849441101195,-1.61,05-Sep-2024,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,06-Aug-2025,0.68,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg,,
0,EICHERMOT,EICHERMOTEQN,6449.0,6598.5,6440.5,6580.0,6425.0,155.0,2.41,902564085763.29,6713.0,4508.75,610721,0,4000631733.07,,1.981230448383733,-45.93845300803992,37.09,05-Sep-2024,https://nsearchives.nseindia.com/365d/EICHERMOT-EQ.svg,06-Aug-2025,16.1,https://nsearchives.nseindia.com/30d/EICHERMOT-EQ.svg,https://nsearchives.nseindia.com/today/EICHERMOTEQN.svg,EQ,"{'symbol': 'EICHERMOT', 'companyName': 'Eicher Motors Limited', 'industry': '2/3 Wheelers', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE066A01021', 'slb_isin': 'INE066A01021', 'listingDate': '2004-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,M&M,M&MEQN,3511.0,3577.8,3481.5,3562.9,3481.5,81.4,2.34,3139470088695.77,3577.8,2425.0,3700943,0,13154224695.47,,0.4164570406395017,-46.92371134020619,30.78,05-Sep-2024,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,06-Aug-2025,10.34,https://nsearchives.nseindia.com/30d/M&M-EQ.svg,https://nsearchives.nseindia.com/today/M&MEQN.svg,EQ,"{'symbol': 'M&M', 'companyName': 'Mahindra & Mahindra Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE101A01026', 'slb_isin': 'INE101A01026', 'listingDate': '1996-01-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,SHRIRAMFIN,SHRIRAMFINEQN,589.0,596.0,585.6,595.65,585.8,9.85,1.68,831608774489.73,730.45,493.35,4166734,0,2466164852.58,,18.454377438565277,-20.73578595317725,-81.74,05-Sep-2024,https://nsearchives.nseindia.com/365d/SHRIRAMFIN-EQ.svg,06-Aug-2025,-6.04,https://nsearchives.nseindia.com/30d/SHRIRAMFIN-EQ.svg,https://nsearchives.nseindia.com/today/SHRIRAMFINEQN.svg,EQ,"{'symbol': 'SHRIRAMFIN', 'companyName': 'Shriram Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['YV', 'YX', 'YY', 'Z1', 'Z2', 'Z3', 'Z6', 'Z7', 'ZA', 'ZD', 'ZG', 'ZJ', 'N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE', 'NF', 'NG', 'NH', 'NI', 'NJ', 'NK', 'NL', 'NM', 'NN', 'NO', 'NP', 'NQ', 'NR', 'NS', 'NT', 'NU', 'NV', 'NW', 'NX', 'NY', 'NZ', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7', 'Y8', 'Y9', 'YA', 'YB', 'YC', 'YD', 'YG', 'YH', 'YJ', 'YK', 'YM', 'YN', 'YO', 'YQ', 'YR', 'YT', 'YU'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE721A01047', 'slb_isin': 'INE721A01047', 'listingDate': '1996-12-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,MARUTI,MARUTIEQN,14740.0,14957.0,14701.0,14903.0,14662.0,241.0,1.64,1950473813023.04,15240.0,10725.0,473806,0,7026107078.48,,2.211286089238845,-38.955710955710956,21.11,05-Sep-2024,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,06-Aug-2025,18.93,https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg,https://nsearchives.nseindia.com/today/MARUTIEQN.svg,EQ,"{'symbol': 'MARUTI', 'companyName': 'Maruti Suzuki India Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE585B01010', 'slb_isin': 'INE585B01010', 'listingDate': '2003-07-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,DRREDDY,DRREDDYEQN,1254.3,1271.7,1253.6,1269.7,1253.0,16.7,1.33,771022867685.77,1405.9,1020.0,769861,0,973789480.29,,9.687744505299099,-24.48039215686275,-81.06,05-Sep-2024,https://nsearchives.nseindia.com/365d/DRREDDY-EQ.svg,06-Aug-2025,5.97,https://nsearchives.nseindia.com/30d/DRREDDY-EQ.svg,https://nsearchives.nseindia.com/today/DRREDDYEQN.svg,EQ,"{'symbol': 'DRREDDY', 'companyName': ""Dr. Reddy's Laboratories Limited"", 'industry': 'Pharmaceuticals', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE089A01031', 'slb_isin': 'INE089A01031', 'listingDate': '2003-05-30', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,POWERGRID,POWERGRIDEQN,282.35,286.65,282.35,285.5,281.8,3.7,1.31,1289982170443.55,366.25,247.3,9695914,0,2761396307.2,,22.04778156996587,-15.446825717751715,-13.86,05-Sep-2024,https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg,06-Aug-2025,0.19,https://nsearchives.nseindia.com/30d/POWERGRID-EQ.svg,https://nsearchives.nseindia.com/today/POWERGRIDEQN.svg,EQ,"{'symbol': 'POWERGRID', 'companyName': 'Power Grid Corporation of India Limited', 'industry': 'Power - Transmission', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE752E01010', 'slb_isin': 'INE752E01010', 'listingDate': '2007-10-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,RELIANCE,RELIANCEEQN,1363.0,1381.0,1359.3,1375.7,1359.3,16.4,1.21,9294683933551.8,1551.0,1114.85,5777575,0,7917357677.0,,11.302385557704705,-23.39776651567477,-53.95,05-Sep-2024,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,06-Aug-2025,-1.28,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,EQ,"{'symbol': 'RELIANCE', 'companyName': 'Reliance Industries Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002A01018', 'slb_isin': 'INE002A01018', 'listingDate': '1995-11-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,ETERNAL,ETERNALEQN,327.55,334.4,326.3,329.5,326.25,3.25,1.0,2283906812586.22,334.4,194.8,31645035,0,10487797499.7,,1.4653110047846822,-69.14784394250512,-,-,-,06-Aug-2025,10.14,https://nsearchives.nseindia.com/30d/ETERNAL-EQ.svg,https://nsearchives.nseindia.com/today/ETERNALEQN.svg,EQ,"{'symbol': 'ETERNAL', 'companyName': 'ETERNAL LIMITED', 'industry': 'E-Retail/ E-Commerce', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE758T01015', 'slb_isin': 'INE758T01015', 'listingDate': '2021-07-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
0,TATAMOTORS,TATAMOTORSEQN,690.9,697.35,683.1,693.5,687.5,6.0,0.87,1443744542062.04,1085.85,535.75,6692975,0,4623306340.75,,36.13298337707786,-29.444703686420905,-35.3,05-Sep-2024,https://nsearchives.nseindia.com/365d/TATAMOTORS-EQ.svg,06-Aug-2025,5.95,https://nsearchives.nseindia.com/30d/TATAMOTORS-EQ.svg,https://nsearchives.nseindia.com/today/TATAMOTORSEQN.svg,EQ,"{'symbol': 'TATAMOTORS', 'companyName': 'Tata Motors Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE155A01022', 'slb_isin': 'INE155A01022', 'listingDate': '1998-07-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Sep-2025 16:00:00', 'preOpenTime': '05-Sep-2025 09:07:40', 'QuotePreOpenFlag': False}}"
